source,target,weight
6876038,6327274,1
6876038,5613451,1
6876038,6327272,1
6876038,6065008,1
6876038,6400494,1
6876038,1532150,1
6876038,4658136,1
6876015,5290717,1
6876015,4389009,1
6876015,6327274,1
6876015,528685,1
6876015,6400494,1
6876015,5613429,1
6876015,5290708,1
6875992,5652931,1
6875992,6327271,1
6875992,4658136,1
6875992,6065008,1
6875992,6327273,1
6875992,6876032,1
6875992,6634134,1
6875992,6634164,1
6875992,6634160,1
6876032,6065008,1
6876032,6634160,1
6876032,6634134,1
6876032,6875938,1
6876032,1532152,1
6876032,6327271,1
6876032,4035748,1
6876032,5613451,1
6876032,6634164,1
6876032,6875992,1
6876032,5613449,1
6876032,5333919,1
6876013,6102456,1
6876013,6327271,1
6876013,6400557,1
6876013,6065010,1
6876013,6065008,1
6876013,6327270,1
6876013,6634152,1
6876013,6400485,1
6876013,5652922,1
6876013,5613451,1
6876013,6634134,1
6876013,6634160,1
6875996,6634096,1
6875996,6327272,1
6875996,6065010,1
6875996,885097,1
6875996,5332595,1
6875996,5652890,1
6875996,5290698,1
6875996,4035762,1
6875996,6634100,1
6875947,5333443,1
6875947,4677365,1
6875947,4389006,1
6875947,963287,1
6875947,4376132,1
6875947,4035752,1
6875947,4376131,1
6876045,5613487,1
6876045,6327232,1
6876045,4658193,1
6876045,5290719,1
6876045,5613486,1
6876014,6400556,1
6876014,1382887,1
6876014,4677356,1
6876014,1532151,1
6876014,6102458,1
6876014,6065001,1
6876014,6634174,1
6876014,6634194,1
6876014,5332584,1
6876014,6634127,1
6876014,6102454,1
6876014,6102455,1
6876014,5290694,1
6876014,6327262,1
6876046,4376134,1
6876046,6065005,1
6876046,5613437,1
6876046,6327279,1
6876046,5290717,1
6876046,6634091,1
6876046,963283,1
6876046,6327248,1
6876046,4677361,1
6876029,963273,1
6876029,6065021,1
6876029,6065020,1
6876029,5290710,1
6876029,6327262,1
6876029,6634174,1
6876029,6634127,1
6876029,6102455,1
6876029,1532150,1
6876008,6400557,1
6876008,6400556,1
6876008,6634174,1
6876008,5290695,1
6876008,4677356,1
6876008,6327271,1
6876008,6634110,1
6876008,6634127,1
6876008,6102455,1
6876008,6102460,1
6876008,5290706,1
6875926,885098,1
6875926,6064950,1
6875926,6327294,1
6875926,4376134,1
6875926,5613487,1
6875926,6634184,1
6875926,5613486,1
6875926,6102460,1
6875926,6102457,1
6875970,6634169,1
6875970,6634096,1
6875970,6400491,1
6875970,4389006,1
6875970,6634100,1
6875941,1173149,1
6875941,885727,1
6875941,5613488,1
6875941,6064952,1
6875941,5613487,1
6875941,4658193,1
6875994,6634163,1
6875994,6327248,1
6875994,6327277,1
6875994,4389006,1
6875994,4015424,1
6875994,6634091,1
6876007,6327226,1
6876007,6327206,1
6876007,4658178,1
6876028,4658137,1
6876028,5290693,1
6876028,6064996,1
6876028,5290692,1
6875977,885086,1
6875977,5290748,1
6875977,485139,1
6876041,4658178,1
6876041,6327268,1
6876041,1532821,1
6876041,6634124,1
6876041,6400486,1
6876041,6634115,1
6876041,6634158,1
6876041,4677350,1
6876041,6634156,1
6875950,5613436,1
6875950,4015420,1
6875950,4376133,1
6875950,6064993,1
6875950,4376151,1
6875950,4658146,1
6875950,5613441,1
6875950,4376146,1
6875978,6634178,1
6875978,5290695,1
6875978,4376133,1
6875989,6327245,1
6875989,6327267,1
6875989,6064996,1
6875989,4389009,1
6875989,6634178,1
6875989,6064986,1
6875989,6634120,1
6875989,4015437,1
6875989,5613436,1
6875989,568118,1
6875989,6327283,1
6875989,6634121,1
6875989,6634103,1
6875906,6065014,1
6875960,5613438,1
6875960,1249005,1
6876017,4658148,1
6876017,6634104,1
6876017,6064991,1
6876017,5613447,1
6876017,5290706,1
6876017,6064996,1
6876017,6064990,1
6876026,5613447,1
6876026,5290706,1
6876026,6064996,1
6876026,4658148,1
6876026,6064991,1
6876026,6634104,1
6875985,6634138,1
6875985,6327275,1
6875985,6327294,1
6875985,4658131,1
6875985,6400486,1
6875985,6327262,1
6875985,6634116,1
6875985,1532136,1
6875985,6064996,1
6875985,4658146,1
6875985,6065009,1
6875998,5613430,1
6875998,6634131,1
6875998,146402,1
6875998,663916,1
6875920,5290705,1
6875920,5613440,1
6875920,146402,1
6875920,6327256,1
6875920,6064995,1
6875920,1532788,1
