3542551,1970,US,430,1,19
3649396,1972,SE,156,1,19
3823015,1974,US,430,1,19
3604986,1971,US,257,4,46
3837936,1974,DE,438,4,46
3928081,1975,US,438,4,46
3928082,1975,US,438,4,46
3945856,1976,US,438,4,46
4018627,1977,US,438,4,46
4046606,1977,US,438,4,46
4106954,1978,FR,438,4,46
4118250,1978,US,438,4,46
4131497,1978,US,438,4,46
4135954,1979,US,438,4,46
3911471,1975,NL,257,4,46
3928091,1975,JP,438,4,46
3961356,1976,NL,257,4,46
3992232,1976,JP,438,4,46
3993513,1976,US,438,4,46
4140558,1979,US,438,4,46
4283236,1981,US,438,4,46
3874920,1975,US,438,4,46
4169000,1979,US,438,4,46
4264382,1981,US,438,4,46
4007103,1977,US,204,1,19
4056413,1977,JP,438,4,46
4123565,1978,JP,438,4,46
4199384,1980,US,438,4,46
4307179,1981,US,430,1,19
4204894,1980,JP,438,4,46
4269636,1981,US,438,4,46
4284659,1981,US,438,4,46
3421055,1969,US,438,4,46
3719535,1973,US,438,4,46
4209349,1980,US,438,4,46
4209350,1980,US,438,4,46
4252582,1981,US,438,4,46
4261763,1981,US,438,4,46
4385433,1983,JP,438,4,46
4391650,1983,US,438,4,46
3385729,1968,US,257,4,46
4047195,1977,US,257,4,46
4048649,1977,US,257,4,46
4110779,1978,DE,257,4,46
4174252,1979,US,438,4,46
4242156,1980,US,438,4,46
4271583,1981,US,438,4,46
3506506,1970,US,216,1,19
3740280,1973,US,438,4,46
3816196,1974,US,216,1,19
3919066,1975,NL,204,1,19
4110125,1978,US,438,4,46
4292156,1981,JP,438,4,46
4333964,1982,US,438,4,46
3117260,1964,US,257,4,46
3391023,1968,US,428,6,69
3489961,1970,US,257,4,46
3648125,1972,US,257,4,46
3940506,1976,GB,438,4,46
3962717,1976,US,257,4,46
4111720,1978,US,438,4,46
4168999,1979,US,438,4,46
4073054,1978,JP,438,4,46
4305974,1981,JP,438,4,46
4321284,1982,JP,438,4,46
4328263,1982,JP,438,4,46
3598664,1971,US,438,4,46
4005451,1977,US,257,4,46
4047975,1977,DE,438,4,46
4109272,1978,DE,257,4,46
4178197,1979,US,438,4,46
4196440,1980,US,257,4,46
4259680,1981,US,257,4,46
3419956,1969,US,438,4,46
4437226,1984,US,438,4,46
4466180,1984,US,438,4,46
